subgroup,n,accuracy,precision,recall,f1,roc_auc
Female,1612,0.674937965260546,0.6920289855072463,0.6805225653206651,0.6862275449101797,0.7429049572755037
Male,989,0.7219413549039434,0.6810176125244618,0.7565217391304347,0.7167868177136972,0.8031766252979371
