feature,importance
age,0.18043977757639015
ST_segment_mean,0.08612205664382945
HRV_SDNN,0.07397927058101957
PR_segment_mean,0.06902765278725788
HRV_RMSSD,0.06224883682588148
QT_interval_mean,0.05669837685641139
QT_interval_std,0.05640279381934179
ST_segment_std,0.0524240199926773
QRS_duration_mean,0.052329795925727195
P_wave_duration_mean,0.04859701608601326
HRV_MeanNN,0.04845698905848459
PR_interval_mean,0.04723006612756831
PR_segment_std,0.03797051073331884
P_wave_duration_std,0.03695324519320405
PR_interval_std,0.03677815521180536
QRS_duration_std,0.031792283348443195
HRV_pNN50,0.01560854873336944
is_male,0.0069406044992568
