feature,importance
age,0.18092222782722994
ST_segment_mean,0.08763391403238077
HRV_SDNN,0.07093329203054795
PR_segment_mean,0.0704551863180664
HRV_RMSSD,0.06019779447348344
QT_interval_mean,0.05972360398368999
QRS_duration_mean,0.053928543459485924
ST_segment_std,0.05386312556501177
QT_interval_std,0.05370022635756282
P_wave_duration_mean,0.04955738945131945
PR_interval_mean,0.04775710132668824
HRV_MeanNN,0.04540601521931638
PR_segment_std,0.03804043883438085
P_wave_duration_std,0.03789275464289725
PR_interval_std,0.035240859508656505
QRS_duration_std,0.03285156198208791
HRV_pNN50,0.015050423744594166
is_male,0.006845541242600318
