model,C,accuracy,precision,recall,f1,roc_auc
Baseline,,0.4996130030959752,0.0,0.0,0.0,0.5
Logistic Regression,0.01,0.6242260061919505,0.6330578512396694,0.5924207269914926,0.6120655213743508,0.6911463322436309
Logistic Regression,0.1,0.6292569659442725,0.6371826371826372,0.6017014694508894,0.6189339697692919,0.6916914830077705
Logistic Regression,1.0,0.6261609907120743,0.6332518337408313,0.6009280742459396,0.6166666666666667,0.6913542084141324
Logistic Regression,10.0,0.6277089783281734,0.6357670221493027,0.5993812838360402,0.6170382165605095,0.6914503586313242
Logistic Regression,100.0,0.6277089783281734,0.6353229762878169,0.6009280742459396,0.6176470588235294,0.6916741100713308
