feature,importance
age,0.03323619465596491
ST_segment_mean,0.025322372807640235
QT_interval_mean,0.014819144736329736
PR_segment_mean,0.010375806568527568
P_wave_duration_mean,0.010133963311952664
QRS_duration_mean,0.008915880840826129
P_wave_duration_std,0.007830641426785367
HRV_MeanNN,0.007725714881357782
ST_segment_std,0.00709759336904967
PR_interval_mean,0.006820644799531284
HRV_pNN50,0.005009875615765757
HRV_RMSSD,0.0039426381582770564
PR_segment_std,0.0028214846911481352
PR_interval_std,0.0024523097918063065
QRS_duration_std,0.0023604429020471773
HRV_SDNN,0.002066780369540355
QT_interval_std,0.00012451602893008839
is_male,-0.0025075737016875153
