model,accuracy,precision,recall,f1,roc_auc,max_depth
Baseline,0.4996130030959752,0.0,0.0,0.0,0.5,
Decision Tree,0.5917182662538699,0.5534591194968553,0.9528228924980665,0.7001989201477693,0.6401678465286776,2.0
Decision Tree,0.6010061919504643,0.6696891191709845,0.39984532095901004,0.500726392251816,0.6529387520121155,3.0
Decision Tree,0.6253869969040248,0.6057254391672089,0.720030935808198,0.6579505300353357,0.6809487180869642,5.0
Decision Tree,0.6273219814241486,0.6311605723370429,0.6140757927300851,0.62250098000784,0.6638447626287769,10.0
Decision Tree,0.5770123839009288,0.5766871165644172,0.5815931941221965,0.5791297651135926,0.5770088356358465,
